ciudad,fecha,hora,alertas,congestiones,km_congestiones,irregularidades
santiago,4_1_2022,00:05,133,94,29.965,1
santiago,4_1_2022,00:10,127,91,30.547,0
santiago,4_1_2022,00:15,122,92,26.153,0
santiago,4_1_2022,00:20,117,82,25.055,0
santiago,4_1_2022,00:25,127,90,28.635,0
santiago,4_1_2022,00:30,131,95,31.387,0
santiago,4_1_2022,00:35,129,96,28.289,0
santiago,4_1_2022,00:40,126,94,28.651,0
santiago,4_1_2022,00:45,121,90,29.772,0
santiago,4_1_2022,00:50,123,85,24.333,0
santiago,4_1_2022,00:55,117,85,24.267,0
santiago,4_1_2022,01:00,117,78,19.754,0
santiago,4_1_2022,01:05,113,81,31.787,0
santiago,4_1_2022,01:10,112,81,33.827,0
santiago,4_1_2022,01:15,110,91,37.322,0
santiago,4_1_2022,01:20,113,81,21.819,0
santiago,4_1_2022,01:25,116,79,20.101,0
santiago,4_1_2022,01:30,114,82,40.043,0
santiago,4_1_2022,01:35,113,94,45.462,0
santiago,4_1_2022,01:40,114,82,26.636,0
santiago,4_1_2022,01:45,112,86,25.188,0
santiago,4_1_2022,01:50,111,76,15.643,0
santiago,4_1_2022,01:55,107,81,26.14,0
santiago,4_1_2022,02:00,107,80,26.258,0
santiago,4_1_2022,02:05,102,80,23.328,0
santiago,4_1_2022,02:10,95,87,24.078,0
santiago,4_1_2022,02:15,95,77,16.64,1
santiago,4_1_2022,02:20,91,80,18.938,0
santiago,4_1_2022,02:25,90,82,23.683,0
santiago,4_1_2022,02:30,87,83,29.963,0
santiago,4_1_2022,02:35,84,79,27.967,1
santiago,4_1_2022,02:40,81,78,20.029,0
santiago,4_1_2022,02:45,82,80,34.781,1
santiago,4_1_2022,02:50,82,78,31.631,2
santiago,4_1_2022,02:55,84,78,33.383,2
santiago,4_1_2022,03:00,81,73,21.174,1
santiago,4_1_2022,03:05,82,78,29.47,1
santiago,4_1_2022,03:10,77,77,30.565,1
santiago,4_1_2022,03:15,78,79,26.222,1
santiago,4_1_2022,03:20,78,77,24.674,1
santiago,4_1_2022,03:25,81,70,22.322,1
santiago,4_1_2022,03:30,81,70,17.311,1
santiago,4_1_2022,03:35,80,72,21.958,0
santiago,4_1_2022,03:40,79,75,17.31,0
santiago,4_1_2022,03:45,79,77,20.929,0
santiago,4_1_2022,03:50,78,74,17.961,0
santiago,4_1_2022,03:55,79,72,16.526,0
santiago,4_1_2022,04:00,79,75,17.156,0
santiago,4_1_2022,04:05,79,75,22.12,0
santiago,4_1_2022,04:10,79,72,24.298,0
santiago,4_1_2022,04:15,77,73,19.888,0
santiago,4_1_2022,04:20,80,74,14.269,0
santiago,4_1_2022,04:25,82,72,12.956,0
santiago,4_1_2022,04:30,83,73,14.355,0
santiago,4_1_2022,04:35,83,77,17.814,0
santiago,4_1_2022,04:40,81,76,22.945,0
santiago,4_1_2022,04:45,79,76,28.711,0
santiago,4_1_2022,04:50,78,69,15.282,0
santiago,4_1_2022,04:55,80,68,12.067,0
santiago,4_1_2022,05:00,81,73,13.867,0
santiago,4_1_2022,05:05,82,72,15.096,0
santiago,4_1_2022,05:10,82,77,34.607,0
santiago,4_1_2022,05:15,81,78,25.385,0
santiago,4_1_2022,05:20,82,83,24.207,0
santiago,4_1_2022,05:25,80,72,16.055,0
santiago,4_1_2022,05:30,77,69,14.19,0
santiago,4_1_2022,05:35,77,73,18.859,0
santiago,4_1_2022,05:40,76,74,18.987,0
santiago,4_1_2022,05:45,79,75,20.3,0
santiago,4_1_2022,05:50,79,83,26.45,0
santiago,4_1_2022,05:55,78,75,21.333,0
santiago,4_1_2022,06:00,78,74,16.549,0
santiago,4_1_2022,06:05,83,82,20.753,0
santiago,4_1_2022,06:10,82,86,22.877,0
santiago,4_1_2022,06:15,84,83,17.487,0
santiago,4_1_2022,06:20,90,91,27.818,0
santiago,4_1_2022,06:25,94,92,29.56,0
santiago,4_1_2022,06:30,102,99,39.537,0
santiago,4_1_2022,06:35,102,92,36.484,0
santiago,4_1_2022,06:40,105,111,51.363,0
santiago,4_1_2022,06:45,119,121,56.621,0
santiago,4_1_2022,06:50,130,119,48.04,0
santiago,4_1_2022,06:55,139,128,60.261,0
santiago,4_1_2022,07:00,152,129,62.59,0
santiago,4_1_2022,07:05,159,143,71.093,0
santiago,4_1_2022,07:10,168,165,94.427,1
santiago,4_1_2022,07:15,176,175,104.903,1
santiago,4_1_2022,07:20,203,204,121.508,0
santiago,4_1_2022,07:25,216,225,142.835,0
santiago,4_1_2022,07:30,242,251,162.058,0
santiago,4_1_2022,07:35,281,281,186.712,1
santiago,4_1_2022,07:40,295,331,198.47,4
santiago,4_1_2022,07:45,344,349,215.381,4
santiago,4_1_2022,07:50,359,362,222.803,4
santiago,4_1_2022,07:55,372,374,231.53,4
santiago,4_1_2022,08:00,364,370,238.311,3
santiago,4_1_2022,08:05,371,371,237.362,3
santiago,4_1_2022,08:15,357,357,225.857,3
santiago,4_1_2022,08:20,351,369,237.652,3
santiago,4_1_2022,08:25,352,393,247.746,5
santiago,4_1_2022,08:30,324,363,242.186,5
santiago,4_1_2022,08:35,339,355,218.484,8
santiago,4_1_2022,08:40,396,371,237.318,10
santiago,4_1_2022,08:45,399,401,260.804,10
santiago,4_1_2022,08:50,417,411,253.178,10
santiago,4_1_2022,08:55,396,434,257.881,12
santiago,4_1_2022,09:00,378,412,250.746,14
santiago,4_1_2022,09:05,357,403,229.098,9
santiago,4_1_2022,09:10,352,408,235.447,8
santiago,4_1_2022,09:15,317,366,211.48,10
santiago,4_1_2022,09:20,291,383,215.317,10
santiago,4_1_2022,09:25,292,349,200.468,12
santiago,4_1_2022,09:30,280,338,201.417,12
santiago,4_1_2022,09:35,279,334,213.26,13
santiago,4_1_2022,09:40,277,351,219.615,15
santiago,4_1_2022,09:45,268,357,218.503,15
santiago,4_1_2022,09:50,268,358,221.174,12
santiago,4_1_2022,09:55,292,370,220.613,13
santiago,4_1_2022,10:00,305,421,236.03,14
santiago,4_1_2022,10:05,300,386,215.371,16
santiago,4_1_2022,10:10,294,375,218.743,16
santiago,4_1_2022,10:15,284,358,226.55,14
santiago,4_1_2022,10:20,297,367,233.127,11
santiago,4_1_2022,10:25,290,400,250.264,13
santiago,4_1_2022,10:30,286,370,231.302,12
santiago,4_1_2022,10:35,299,383,240.948,12
